X3TCREDADV,X3TCREDHON,X5DUALCRSFLG,A1G9STUDY,X3TGPA9TH,X1TXMTH,X1PAREDU,X1FAMINCOME,X1POVERTY,X1POVERTY130,X1PAR1EMP,X1STDOB,X1SEX_1.0,X1SEX_2.0,X1RACE_1.0,X1RACE_2.0,X1RACE_3.0,X1RACE_4.0,X1RACE_5.0,X1RACE_6.0,X1RACE_7.0,X1RACE_8.0,Cluster,T_ADV,T_HON,T_STUDY,T_ADV_hat,T_HON_hat
2.5,14.0,3.0,1.0,3.0,0.1742,5.0,2.0,1.0,1.0,4.0,199411.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7,0,1,1,0.34602729730535997,0.44861406153944017
2.5,0.5,3.0,1.0,3.0,0.0762,3.0,7.0,0.0,0.0,4.0,199509.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,1,0.34561437300559783,0.4612639511079889
11.0,7.5,3.0,0.0,3.0,1.6995,3.0,5.0,0.0,0.0,4.0,199412.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,1,0,0.5770348930195575,0.5700303354048508
4.0,4.0,3.0,1.0,3.0,-0.0322,7.0,11.0,0.0,0.0,1.0,199501.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,0.47293436668055855,0.5141886054821218
1.0,1.0,3.0,1.0,2.0,,,,,,,199500.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,0.23502064904397316,0.29202807792929236
0.0,0.0,3.0,1.0,3.0,-0.6958,4.0,7.0,0.0,0.0,4.0,199508.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,0,0,1,0.2835566185147736,0.40514526266559053
0.5,2.0,3.0,0.0,3.0,0.1185,4.0,5.0,0.0,0.0,4.0,199410.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,0,0,0,0.3828530381258086,0.45538324833802174
8.0,11.0,3.0,0.0,4.0,1.1869,4.0,3.0,0.0,0.0,4.0,199412.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0.8300119364960001,0.6566257755394531
0.0,0.0,3.0,1.0,2.0,-0.8464,2.0,1.0,1.0,1.0,3.0,199411.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7,0,0,1,0.107188825476964,0.15365277642732714
0.5,0.0,3.0,0.0,2.5,-0.6322,,,,,,199409.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0.2099704243421019,0.24327539401388537
5.0,1.0,3.0,0.0,3.5,1.787,5.0,8.0,0.0,0.0,4.0,199412.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0,0,0.7980116518518475,0.7495826389221796
2.5,11.0,3.0,0.0,3.5,0.2468,4.0,8.0,0.0,0.0,3.0,199410.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,0,1,0,0.6146702244080824,0.626981957652193
2.0,0.0,2.0,0.0,4.0,0.7865,4.0,6.0,0.0,0.0,4.0,199410.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0.6166894393818303,0.6864054368316718
