STU_ID,SCH_ID,X3TGPA9TH,X1TXMTH,X1PAREDU,X1FAMINCOME,X1POVERTY,X1POVERTY130,X1PAR1EMP,X1SEX,X1RACE,X1STDOB,C1GETAHEAD,X3TCREDADV,X3TCREDHON,X5DUALCRSFLG,A1G9STUDY,X3TGPAACAD,X3TGPA12TH,X5GPAALL,X3TXSATCOMP
31849,-5,3.5,-8.0,-8,-8,-8,-8,-8,2,3,199500,-5,6.0,12.5,3,1,3.5,3.5,3.7,-5
31851,-5,4.0,1.0084,4,13,0,0,2,2,8,199506,-5,0.0,11.0,3,0,3.5,-1.0,3.7,-5
31852,-5,2.0,-1.0327,-8,-8,-8,-8,-8,2,8,199409,-5,2.0,0.0,-8,1,1.5,3.0,-8.0,-5
31853,-5,3.5,-8.0,4,3,0,0,4,2,5,199400,-5,1.5,0.0,3,1,3.5,4.0,3.8,-5
31854,-5,4.0,1.6161,7,8,0,0,2,2,8,199511,-5,15.0,1.0,3,1,4.0,4.0,-9.0,-5
31855,-5,1.5,-1.2788,2,1,1,1,2,1,8,199405,-5,0.0,0.0,3,-9,1.0,-1.0,-7.0,-5
31856,-5,-8.0,-1.7393,1,1,1,1,4,2,5,199412,-5,-8.0,-8.0,-6,1,-8.0,-8.0,-6.0,-5
31857,-5,2.5,-0.4941,5,6,0,0,4,2,8,199411,-5,0.0,0.0,-8,0,2.5,3.0,-8.0,-5
31858,-5,-8.0,1.2209,4,6,0,0,3,2,8,199507,-5,-8.0,-8.0,2,0,-8.0,-8.0,3.0,-5
31859,-5,1.5,-8.0,-8,-8,-8,-8,-8,1,3,199300,-5,0.0,0.0,-6,-8,1.0,1.0,-6.0,-5
31860,-5,3.0,0.2966,4,8,0,0,4,1,8,199502,-5,0.0,1.0,3,0,3.5,3.5,2.2,-5
31862,-5,3.0,1.0789,3,7,0,0,2,1,8,199505,-5,9.0,0.0,3,0,2.5,2.0,2.7,-5
31863,-5,3.0,-0.8441,2,2,0,0,2,2,3,199409,-5,1.0,0.0,3,0,2.5,2.0,2.4,-5
31864,-5,3.5,0.1422,2,3,0,0,4,2,8,199508,-5,3.5,1.0,-8,0,3.5,3.0,-8.0,-5
31865,-5,0.25,-8.0,-8,-8,-8,-8,-8,1,-9,199400,-5,0.0,0.0,-6,1,0.25,-1.0,-6.0,-5
31866,-5,4.0,1.2027,4,9,0,0,4,2,7,199505,-5,12.0,2.0,3,0,4.0,4.0,2.8,-5
31867,-5,0.5,-0.0612,-8,-8,-8,-8,-8,1,5,199503,-5,0.0,2.0,-6,1,0.5,0.25,-6.0,-5
31868,-5,2.5,-0.9468,2,1,1,1,4,2,5,199511,-5,0.0,0.0,3,1,2.5,-1.0,1.8,-5
31870,-5,4.0,0.1064,5,6,0,0,4,2,3,199411,-5,7.0,0.0,3,1,3.5,4.0,3.9,-5
