STU_ID,X3TGPA9TH,X1TXMTH,X1PAREDU,X1FAMINCOME,X1POVERTY,X1POVERTY130,X1PAR1EMP,X1SEX,X1RACE,X1STDOB,X3TCREDADV,X3TCREDHON,X5DUALCRSFLG,A1G9STUDY,X3TGPAACAD,X3TGPA12TH,X5GPAALL,X1PAREDU_label,X1SEX_label,X1RACE_label,X1SEX_1.0,X1SEX_2.0,X1RACE_1.0,X1RACE_2.0,X1RACE_3.0,X1RACE_4.0,X1RACE_5.0,X1RACE_6.0,X1RACE_7.0,X1RACE_8.0
34578,3.5,0.7763,4.0,7.0,0.0,0.0,2.0,2.0,8.0,199507.0,0.0,1.0,2.0,1.0,4.0,4.0,3.8,Some college/Associate,Female,White,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
34579,4.0,-0.1331,3.0,1.0,1.0,1.0,3.0,2.0,5.0,199507.0,0.0,4.0,,,3.5,3.5,,Certificate,Female,Hispanic (race specified),0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
34580,2.5,0.5646,2.0,5.0,0.0,0.0,2.0,1.0,5.0,199504.0,0.0,0.0,3.0,0.0,2.5,3.0,1.3,HS diploma,Male,Hispanic (race specified),1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
34581,2.5,,,,,,,2.0,,199500.0,1.0,0.0,3.0,1.0,2.5,3.0,2.8,,Female,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34583,3.5,,,,,,,1.0,,199500.0,8.0,0.0,,,3.5,3.0,,,Male,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34584,2.5,0.4146,7.0,3.0,0.0,0.0,2.0,1.0,2.0,199506.0,2.0,0.0,,0.0,2.5,3.5,,Graduate degree,Male,Asian,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
34585,,-0.2648,,,,,,1.0,8.0,199402.0,,,,,,,,,Male,White,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
34586,2.5,1.0198,4.0,4.0,0.0,0.0,4.0,1.0,1.0,199509.0,2.0,7.0,3.0,1.0,3.0,3.5,0.5,Some college/Associate,Male,Native American,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34587,2.5,-0.0985,,,,,,1.0,8.0,199505.0,1.0,7.0,,0.0,2.5,3.5,,,Male,White,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
34588,1.5,-1.0526,2.0,2.0,0.0,0.0,4.0,1.0,5.0,199505.0,0.0,0.0,3.0,0.0,1.5,2.0,1.0,HS diploma,Male,Hispanic (race specified),1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
34589,,-1.027,,,,,,2.0,5.0,199410.0,0.0,0.0,,1.0,,,,,Female,Hispanic (race specified),0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
34590,3.0,-0.4286,3.0,6.0,0.0,0.0,2.0,2.0,8.0,199412.0,1.5,0.0,3.0,1.0,3.0,2.5,2.1,Certificate,Female,White,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
34591,2.5,,,,,,,1.0,2.0,199400.0,0.0,2.0,,0.0,2.5,3.0,,,Male,Asian,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
34592,4.0,1.1639,2.0,3.0,0.0,0.0,4.0,2.0,1.0,199501.0,2.5,9.5,3.0,0.0,4.0,3.5,3.3,HS diploma,Female,Native American,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34593,2.5,-1.005,3.0,5.0,0.0,0.0,4.0,1.0,8.0,199411.0,4.0,0.0,3.0,1.0,2.5,3.0,0.0,Certificate,Male,White,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
34594,1.5,-0.3267,4.0,4.0,0.0,0.0,4.0,1.0,6.0,199510.0,0.0,2.0,,1.0,1.0,1.5,,Some college/Associate,Male,Multiracial,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
34595,3.0,-0.1078,4.0,11.0,0.0,0.0,4.0,2.0,5.0,199410.0,4.0,8.0,3.0,1.0,2.5,2.0,3.5,Some college/Associate,Female,Hispanic (race specified),0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
34596,3.0,0.1703,2.0,6.0,0.0,0.0,2.0,1.0,8.0,199512.0,0.0,0.0,3.0,0.0,2.5,3.0,3.3,HS diploma,Male,White,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
34598,4.0,0.0743,,,,,,1.0,8.0,199505.0,0.0,0.0,,0.0,3.0,3.5,,,Male,White,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
34599,3.5,0.0335,4.0,3.0,0.0,0.0,2.0,1.0,8.0,199508.0,3.0,1.5,3.0,0.0,3.0,3.5,1.1,Some college/Associate,Male,White,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
34600,3.5,0.5378,2.0,2.0,0.0,0.0,4.0,2.0,5.0,199506.0,1.0,0.0,3.0,0.0,3.5,3.0,1.3,HS diploma,Female,Hispanic (race specified),0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
34601,3.0,-0.7741,,,,,,2.0,2.0,199503.0,1.5,0.0,,1.0,3.5,3.5,,,Female,Asian,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
34602,2.5,0.042,2.0,1.0,1.0,1.0,2.0,2.0,8.0,199410.0,0.5,0.0,,1.0,2.0,3.0,,HS diploma,Female,White,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
34603,4.0,0.3852,4.0,4.0,0.0,0.0,4.0,2.0,8.0,199503.0,10.0,1.0,3.0,0.0,3.5,3.5,3.0,Some college/Associate,Female,White,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
34604,3.5,0.9172,,,,,,1.0,8.0,199502.0,3.0,6.0,3.0,0.0,4.0,4.0,3.9,,Male,White,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
34605,0.25,-0.214,,,,,,1.0,8.0,199508.0,0.0,0.0,,0.0,0.25,0.25,,,Male,White,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
