Cluster,Outcome_GPA_Final,Trat_Creditos_Avanzados,Trat_Honors,Trat_Taller_Estudio,Contexto_GPA_9no,Contexto_Habilidad_Mate,Contexto_Ingreso_Familiar,X1PAREDU,X1SEX_1.0,X1SEX_2.0,Efecto_Causal_Creditos,Efecto_Causal_Honors,Efecto_Causal_Taller
4,3.5,4.0,2.0,1.0,1.4029364290273778,1.8780410574382072,0.9847373611643324,1.3821717973421044,0.9839336042921399,-0.9834834377846552,-0.0008198908544056575,0.002228210907069341,-0.054687546248522
1,2.5,0.0,0.0,0.0,0.2956629824701038,0.5829407199170966,-1.3363685957368152,-0.930464609968532,-1.0163287397013119,1.0167939403764124,0.02110886216380059,0.014189294406125263,-0.05961443275960088
2,2.0,0.0,0.0,0.0,0.2956629824701038,-0.013965485110180021,-0.17581561728624137,-0.15958580753165322,-1.0163287397013119,1.0167939403764124,0.024734450114707065,0.015210863241584893,-7.774094894511061e-05
2,3.0,3.0,11.5,1.0,0.2956629824701038,0.3892383799970775,0.5978863683474744,0.6112929949052256,-1.0163287397013119,1.0167939403764124,0.023120629011778023,0.02421967446351254,0.05716700410569678
4,3.5,10.0,12.0,0.0,0.8492997057487409,-0.013965485110180021,-0.17581561728624137,-0.15958580753165322,0.9839336042921399,-0.9834834377846552,0.022195780044777333,0.005515735400222349,-0.09831546211868544
0,2.5,0.0,7.5,0.0,-0.25797374080853325,0.4039554292870901,0.9847373611643324,-1.7013434124054108,0.9839336042921399,-0.9834834377846552,0.05071158427261293,0.04535433380009993,0.12284565881070775
4,3.0,0.0,0.0,1.0,0.2956629824701038,1.3765792456005714,-0.17581561728624137,-0.15958580753165322,0.9839336042921399,-0.9834834377846552,0.00811570408061877,0.019017809320480757,-0.01808312712673479
1,2.5,0.0,0.0,0.0,0.8492997057487409,-0.27973808111217263,-0.9495176029199572,-0.930464609968532,0.9839336042921399,-0.9834834377846552,0.004983485270871446,0.01288846268478272,-0.05818818382940166
0,2.0,1.0,5.0,0.0,-0.25797374080853325,-0.1406836080410975,-0.17581561728624137,-0.15958580753165322,0.9839336042921399,-0.9834834377846552,0.029826015157287864,0.03754734171002101,0.021481412960852507
2,3.5,1.5,0.0,0.0,0.8492997057487409,-0.09068892589414287,-0.17581561728624137,-0.930464609968532,-1.0163287397013119,1.0167939403764124,6.056161760754908e-05,0.0038717100470761143,-0.055032727447222006
2,1.5,0.0,0.0,1.0,0.2956629824701038,-0.5604441535996192,-0.5626666101030993,-0.930464609968532,-1.0163287397013119,1.0167939403764124,0.01883870071487789,0.017964854582992254,-0.0540899347855272
4,1.5,0.0,0.0,1.0,-0.8116104640871703,-0.7882337768016527,0.21103537553061655,-0.930464609968532,0.9839336042921399,-0.9834834377846552,0.02583116877596426,0.029163592981224562,0.04818796026019191
1,3.0,6.0,9.0,0.0,0.8492997057487409,1.5128201651309088,-1.3363685957368152,-1.7013434124054108,0.9839336042921399,-0.9834834377846552,0.010890333313344991,0.022519047909190126,-0.005983872428548254
2,2.5,1.0,0.0,1.0,-0.25797374080853325,-0.0968571009642217,-0.17581561728624137,-0.15958580753165322,-1.0163287397013119,1.0167939403764124,0.03596072138649454,0.02679584541744203,0.02104519063747623
